,0
0,76.23762376237624
1,82.17821782178217
2,79.20792079207921
3,86.13861386138613
4,76.23762376237624
5,76.23762376237624
6,81.1881188118812
7,83.16831683168317
8,76.23762376237624
9,75.24752475247524
